문장,제주도:우리 저번에 제주도 여행 언제 가기로 했었지?,제주도:제주도 숙소는 게스트하우스로 예약했잖아,제주도:협재 해변 사진 진짜 예쁘게 나왔더라,제주도:다음 달에 진짜 제주도 가는 거 맞지?,저녁약속:오늘 저녁에 뭐 먹을까?,저녁약속:이따 만나서 파스타 먹으러 갈까,저녁약속:저녁 약속 몇 시로 잡을까,저녁약속:새로 생긴 이자카야 가보고 싶어,다툼:아까 그렇게 말해서 좀 서운했어,다툼:네가 연락 늦게 해서 걱정했잖아,다툼:미안해 내가 예민하게 굴었나 봐,다툼:우리 이런 걸로 자주 싸우는 것 같아,기념일:이번 기념일에 뭐 받고 싶어?,기념일:생일 선물로 뭐 사줄지 고민 중이야,기념일:우리 사귄 지 벌써 1년 됐네,기념일:기념일에 특별한 곳 예약해놨어,일상안부:오늘 하루 어땠어?,일상안부:출근길에 비 많이 오더라,일상안부:점심은 먹었어?,일상안부:오늘 회사에서 좀 피곤한 일 있었어
제주도:우리 저번에 제주도 여행 언제 가기로 했었지?,0.0000,0.9103,0.8396,0.9214,0.8826,0.8683,0.8834,0.8580,0.8496,0.8610,0.8417,0.8321,0.8712,0.8670,0.8699,0.8576,0.8789,0.8393,0.8725,0.8445
제주도:제주도 숙소는 게스트하우스로 예약했잖아,0.9103,0.0000,0.8771,0.9124,0.8578,0.8786,0.8698,0.8541,0.8652,0.8813,0.8721,0.8487,0.8496,0.8754,0.8664,0.8850,0.8615,0.8581,0.8582,0.8602
제주도:협재 해변 사진 진짜 예쁘게 나왔더라,0.8396,0.8771,0.0000,0.8685,0.8247,0.8718,0.8454,0.8687,0.8469,0.8516,0.8467,0.8506,0.8325,0.8681,0.8744,0.8715,0.8429,0.8725,0.8275,0.8394
제주도:다음 달에 진짜 제주도 가는 거 맞지?,0.9214,0.9124,0.8685,0.0000,0.8637,0.8798,0.8635,0.8652,0.8550,0.8607,0.8491,0.8420,0.8629,0.8705,0.8653,0.8680,0.8620,0.8407,0.8569,0.8398
저녁약속:오늘 저녁에 뭐 먹을까?,0.8826,0.8578,0.8247,0.8637,0.0000,0.9019,0.9330,0.8591,0.8588,0.8715,0.8555,0.8356,0.9107,0.9073,0.8604,0.8462,0.9247,0.8348,0.9412,0.8637
저녁약속:이따 만나서 파스타 먹으러 갈까,0.8683,0.8786,0.8718,0.8798,0.9019,0.0000,0.9046,0.8874,0.8817,0.8831,0.8746,0.8720,0.8744,0.8891,0.8896,0.8662,0.8928,0.8600,0.8945,0.8680
저녁약속:저녁 약속 몇 시로 잡을까,0.8834,0.8698,0.8454,0.8635,0.9330,0.9046,0.0000,0.8548,0.8677,0.8998,0.8768,0.8600,0.8843,0.8988,0.8848,0.8651,0.9074,0.8546,0.9207,0.8529
저녁약속:새로 생긴 이자카야 가보고 싶어,0.8580,0.8541,0.8687,0.8652,0.8591,0.8874,0.8548,0.0000,0.8599,0.8596,0.8521,0.8453,0.8634,0.8884,0.8776,0.8830,0.8572,0.8583,0.8452,0.8657
다툼:아까 그렇게 말해서 좀 서운했어,0.8496,0.8652,0.8469,0.8550,0.8588,0.8817,0.8677,0.8599,0.0000,0.9169,0.9190,0.8942,0.8449,0.8810,0.8850,0.8603,0.8876,0.8689,0.8662,0.9077
다툼:네가 연락 늦게 해서 걱정했잖아,0.8610,0.8813,0.8516,0.8607,0.8715,0.8831,0.8998,0.8596,0.9169,0.0000,0.9065,0.8687,0.8589,0.8864,0.8838,0.8800,0.8904,0.8763,0.8855,0.8946
